"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202208","2호선","잠실새내","52","2","5252","858","16921","8365","51500","15110","69779","27502","44071","29853","30366","24289","28763","25235","30490","27708","30805","31506","28606","33000","32549","38341","33964","44497","37602","57984","41195","83560","29401","55607","26004","33479","25644","28998","26063","28092","14270","15165","2137","4472","0","64","0","1","0","0","20220903"
"202208","2호선","종합운동장","12","0","1639","837","5403","9471","14920","15279","20479","23798","14678","15710","10387","13165","10145","12130","10055","12255","10071","13703","10327","18865","12722","27823","16591","43574","17962","66058","20654","56838","14023","21220","30296","10850","62490","10771","46554","10205","5996","5535","313","1383","4","74","0","0","0","0","20220903"
"202208","2호선","충정로(경기대입구)","40","2","3110","1229","6643","6918","14870","20848","21229","58450","13627","26706","10020","12635","11038","9920","11084","10345","11652","11777","12497","10746","13399","10605","16525","11576","27459","15022","46752","21552","13878","14363","9046","9268","8352","9322","6346","8292","2881","5975","591","1518","0","41","0","0","0","0","20220903"
"202208","2호선","한양대","8","0","908","248","2359","5709","5181","9933","8240","30504","5712","31523","5163","17047","7074","10195","8616","11033","9900","13749","9009","10438","11570","8446","18687","7690","30875","8557","26875","10319","11992","6671","8294","5187","8001","4905","6541","4888","3673","3293","694","1072","0","6","0","0","0","0","20220903"
"202208","2호선","합정","81","4","8935","2963","17878","13679","41829","33088","54587","92956","34733","84412","25068","50251","27675","49391","33667","52894","37813","57662","41289","52014","45007","51353","51613","59800","71076","77717","113080","112251","74262","72158","59738","38315","65291","31153","62091","27173","32288","18800","5332","6598","6","72","0","0","0","0","20220903"
"202208","2호선","홍대입구","674","15","24497","3627","29948","17014","59887","36888","77331","100123","51932","112615","40850","90792","48455","108441","60282","134268","70270","142950","79213","136484","98949","136502","121516","142317","151932","168144","180557","211094","144837","145599","140455","80450","167424","63365","166227","54211","81164","38764","10708","12881","5","1629","0","0","0","0","20220903"
"202208","3호선","가락시장","38","9","2626","534","6780","6461","18820","11929","21082","28709","15159","14987","13177","10897","12776","10410","12526","10616","12664","11233","12683","11167","13323","12439","15013","14164","19652","16738","27983","23137","11725","16692","9030","10562","7367","9134","5031","8698","1788","5066","261","1600","5","37","0","1","0","0","20220903"
"202208","3호선","경복궁(정부서울청사)","97","0","2442","1684","5914","13592","13217","36860","18604","112314","17736","62793","16283","41726","20154","41172","24918","38411","29433","38529","34674","35401","41878","31372","49398","29862","69122","30140","101214","33017","39823","20219","32904","11274","32284","9685","22047","9119","8111","5160","957","1292","3","31","0","0","0","0","20220903"
"202208","3호선","경찰병원","19","0","2694","329","6924","3222","21670","9269","24988","27314","14174","13465","10569","8584","9613","6441","8983","7402","8973","9031","8772","7777","9765","8275","9898","9147","15648","14167","19560","21454","6376","16272","5409","9574","4857","8027","3125","8215","906","4788","98","1248","0","0","0","0","0","0","20220903"
"202208","3호선","고속터미널","103","9","5030","3900","7171","33764","23787","49338","39635","75509","47393","93488","50533","89151","62797","97305","74135","93820","82255","92659","91693","94751","102306","96900","115046","95874","133917","102604","130358","113440","112174","69742","127002","43424","82750","32628","54624","25039","22534","12756","2285","1894","1","5","0","0","0","0","20220903"
